year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,13.0,M,W,113.0,15.0,47.0,12.0,0.0,2.0,2.0,3.0,6.0,6.0,36.0,19.0,3.0,0.0,6.0,12.0,0.0,3.0,4.0,15.0,8.0,3.0,8.0,0.0,1.0,8.0,11.0
2003,14.0,F,A,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
2003,14.0,F,B,95.0,11.0,11.0,11.0,3.0,1.0,1.0,5.0,4.0,2.0,24.0,21.0,14.0,5.0,9.0,16.0,1.0,0.0,1.0,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
2003,14.0,F,I,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,14.0,F,P,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,14.0,F,Q,36.0,7.0,10.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,6.0,5.0,2.0,6.0,3.0,0.0,0.0,3.0,5.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
2003,14.0,F,W,62.0,13.0,7.0,4.0,1.0,2.0,0.0,0.0,6.0,4.0,5.0,17.0,8.0,6.0,9.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0
2003,14.0,M,A,74.0,7.0,19.0,6.0,3.0,3.0,1.0,4.0,7.0,4.0,12.0,20.0,14.0,0.0,6.0,8.0,4.0,0.0,7.0,6.0,3.0,3.0,7.0,0.0,0.0,6.0,2.0
2003,14.0,M,B,1393.0,151.0,422.0,163.0,44.0,26.0,16.0,27.0,101.0,59.0,321.0,417.0,204.0,48.0,226.0,289.0,28.0,52.0,95.0,167.0,61.0,13.0,82.0,9.0,15.0,145.0,54.0
2003,14.0,M,I,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,14.0,M,P,99.0,9.0,35.0,8.0,2.0,2.0,4.0,3.0,4.0,5.0,24.0,20.0,10.0,3.0,21.0,16.0,3.0,5.0,13.0,17.0,5.0,2.0,0.0,2.0,1.0,2.0,4.0
2003,14.0,M,Q,564.0,47.0,173.0,59.0,14.0,10.0,6.0,14.0,43.0,18.0,107.0,162.0,76.0,15.0,101.0,109.0,26.0,26.0,32.0,75.0,21.0,17.0,35.0,9.0,0.0,47.0,23.0
2003,14.0,M,W,448.0,33.0,88.0,30.0,18.0,3.0,7.0,15.0,22.0,17.0,46.0,119.0,59.0,7.0,87.0,99.0,12.0,24.0,23.0,29.0,14.0,12.0,20.0,0.0,2.0,37.0,19.0
2003,17.0,F,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,17.0,F,B,21.0,10.0,10.0,8.0,1.0,3.0,0.0,0.0,7.0,2.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2003,17.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,17.0,F,P,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2003,17.0,F,Q,3.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2003,17.0,F,W,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,17.0,M,A,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,17.0,M,B,137.0,42.0,81.0,44.0,2.0,20.0,2.0,2.0,34.0,13.0,40.0,29.0,7.0,4.0,21.0,18.0,1.0,6.0,14.0,35.0,5.0,1.0,7.0,4.0,5.0,21.0,12.0
2003,17.0,M,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,17.0,M,P,9.0,3.0,6.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
2003,17.0,M,Q,52.0,16.0,33.0,20.0,3.0,5.0,5.0,5.0,16.0,2.0,7.0,9.0,1.0,1.0,8.0,3.0,2.0,5.0,6.0,8.0,1.0,2.0,6.0,1.0,0.0,7.0,7.0
2003,17.0,M,W,60.0,16.0,34.0,10.0,2.0,6.0,2.0,1.0,13.0,4.0,15.0,6.0,2.0,1.0,6.0,7.0,1.0,4.0,7.0,7.0,5.0,0.0,6.0,0.0,1.0,10.0,9.0
